cs,species,extant,community,class
8,oedipina_fortunensis,1,Assemblage,Amphibians
8,bolitoglossa_biseriata,1,Assemblage,Amphibians
8,pristimantis_cruentus,1,Assemblage,Amphibians
8,craugastor_punctariolus,1,Assemblage,Amphibians
8,diasporus_citrinobapheus,1,Assemblage,Amphibians
8,teratohyla_spinosa,1,Assemblage,Amphibians
8,craugastor_melanostictus,1,Assemblage,Amphibians
8,rhinella_horribilis,1,Assemblage,Amphibians
8,duellmanohyla_uranochroa,1,Assemblage,Amphibians
8,strabomantis_bufoniformis,1,Assemblage,Amphibians
8,pristimantis_cerasinus,1,Assemblage,Amphibians
8,bolitoglossa_jugivagans,1,Assemblage,Amphibians
8,pristimantis_ridens,1,Assemblage,Amphibians
8,hyalinobatrachium_colymbiphyllum,1,Assemblage,Amphibians
8,colostethus_pratti,1,Assemblage,Amphibians
8,teratohyla_pulverata,1,Assemblage,Amphibians
8,atelopus_varius,1,Assemblage,Amphibians
8,isthmohyla_tica,1,Assemblage,Amphibians
8,oedipina_collaris,1,Assemblage,Amphibians
8,dermophis_glandulosus,1,Assemblage,Amphibians
8,dermophis_parviceps,1,Assemblage,Amphibians
8,bolitoglossa_anthracina,1,Assemblage,Amphibians
8,isthmohyla_lancasteri,1,Assemblage,Amphibians
8,silverstoneia_flotator,1,Assemblage,Amphibians
8,cruziohyla_sylviae,1,Assemblage,Amphibians
8,silverstoneia_nubicola,1,Assemblage,Amphibians
8,isthmohyla_debilis,1,Assemblage,Amphibians
8,isthmohyla_rivularis,1,Assemblage,Amphibians
8,hyalinobatrachium_vireovittatum,1,Assemblage,Amphibians
8,diasporus_vocator,1,Assemblage,Amphibians
8,isthmohyla_graceae,1,Assemblage,Amphibians
8,leptodactylus_melanonotus,1,Assemblage,Amphibians
8,craugastor_ranoides,1,Assemblage,Amphibians
8,espadarana_prosoblepon,1,Assemblage,Amphibians
8,leptodactylus_savagei,1,Assemblage,Amphibians
8,smilisca_phaeota,1,Assemblage,Amphibians
8,dermophis_gracilior,1,Assemblage,Amphibians
8,agalychnis_lemur,1,Assemblage,Amphibians
8,scinax_boulengeri,1,Assemblage,Amphibians
8,craugastor_gollmeri,1,Assemblage,Amphibians
8,lithobates_warszewitschii,1,Assemblage,Amphibians
8,craugastor_emcelae,1,Assemblage,Amphibians
8,craugastor_talamancae,1,Assemblage,Amphibians
9,phrynomedusa_fimbriata,0,Assemblage,Amphibians
9,ischnocnema_lactea,1,Assemblage,Amphibians
9,dendropsophus_nanus,1,Assemblage,Amphibians
9,leptodactylus_notoaktites,1,Assemblage,Amphibians
9,scinax_nasicus,1,Assemblage,Amphibians
9,scinax_hayii,1,Assemblage,Amphibians
9,crossodactylus_gaudichaudii,1,Assemblage,Amphibians
9,ololygon_brieni,1,Assemblage,Amphibians
9,chiasmocleis_leucosticta,1,Assemblage,Amphibians
9,dendrophryniscus_imitator,1,Assemblage,Amphibians
9,chiasmocleis_lacrimae,1,Assemblage,Amphibians
9,ololygon_catharinae,1,Assemblage,Amphibians
9,nyctimantis_bokermanni,1,Assemblage,Amphibians
9,siphonops_annulatus,1,Assemblage,Amphibians
9,dendropsophus_minutus,1,Assemblage,Amphibians
9,crossodactylus_caramaschii,1,Assemblage,Amphibians
9,siphonops_paulensis,1,Assemblage,Amphibians
9,leptodactylus_furnarius,1,Assemblage,Amphibians
9,boana_faber,1,Assemblage,Amphibians
9,brachycephalus_hermogenesi,1,Assemblage,Amphibians
9,boana_bischoffi,1,Assemblage,Amphibians
9,cycloramphus_semipalmatus,1,Assemblage,Amphibians
9,adenomera_bokermanni,1,Assemblage,Amphibians
9,bokermannohyla_hylax,1,Assemblage,Amphibians
9,scinax_perereca,1,Assemblage,Amphibians
9,thoropa_miliaris,1,Assemblage,Amphibians
9,cycloramphus_acangatan,1,Assemblage,Amphibians
9,vitreorana_uranoscopa,1,Assemblage,Amphibians
9,cycloramphus_dubius,1,Assemblage,Amphibians
9,cycloramphus_mirandaribeiroi,1,Assemblage,Amphibians
9,chthonerpeton_viviparum,1,Assemblage,Amphibians
9,hylodes_heyeri,1,Assemblage,Amphibians
9,brachycephalus_ephippium,1,Assemblage,Amphibians
9,gastrotheca_microdiscus,1,Assemblage,Amphibians
9,physalaemus_moreirae,1,Assemblage,Amphibians
9,leptodactylus_luctator,1,Assemblage,Amphibians
9,scinax_imbegue,1,Assemblage,Amphibians
9,odontophrynus_americanus,1,Assemblage,Amphibians
9,boana_prasina,1,Assemblage,Amphibians
9,phyllomedusa_burmeisteri,1,Assemblage,Amphibians
9,scinax_crospedospilus,1,Assemblage,Amphibians
9,scinax_x-signatus,1,Assemblage,Amphibians
9,haddadus_binotatus,1,Assemblage,Amphibians
9,cycloramphus_bolitoglossus,1,Assemblage,Amphibians
9,adenomera_ajurauna,1,Assemblage,Amphibians
9,paratelmatobius_poecilogaster,1,Assemblage,Amphibians
9,dendropsophus_elegans,1,Assemblage,Amphibians
9,leptodactylus_fuscus,1,Assemblage,Amphibians
9,fritziana_ohausi,1,Assemblage,Amphibians
9,arcovomer_passarellii,1,Assemblage,Amphibians
9,aplastodiscus_perviridis,1,Assemblage,Amphibians
9,ololygon_littoralis,1,Assemblage,Amphibians
9,cycloramphus_eleutherodactylus,1,Assemblage,Amphibians
9,vitreorana_eurygnatha,1,Assemblage,Amphibians
9,aplastodiscus_ehrhardti,1,Assemblage,Amphibians
9,adenomera_marmorata,1,Assemblage,Amphibians
9,sphaenorhynchus_caramaschii,1,Assemblage,Amphibians
9,ischnocnema_gehrti,1,Assemblage,Amphibians
9,ischnocnema_henselii,1,Assemblage,Amphibians
9,phyllomedusa_distincta,1,Assemblage,Amphibians
9,ischnocnema_guentheri,1,Assemblage,Amphibians
9,rhinella_icterica,1,Assemblage,Amphibians
9,siphonops_hardyi,1,Assemblage,Amphibians
9,ischnocnema_parva,1,Assemblage,Amphibians
9,scinax_fuscomarginatus,1,Assemblage,Amphibians
9,dendropsophus_seniculus,1,Assemblage,Amphibians
